Customer_ID,Age,Gender,Region,Income_Level,Membership_Since,Preferred_Channel
C001,58,Female,North,Low,2023-08-18,Online
C002,48,Male,North,High,2019-09-17,Store
C003,34,Female,East,Medium,2023-03-06,Store
C004,27,Female,Central,Low,2021-06-30,Store
C005,40,Male,South,High,2022-09-12,Online
C006,58,Male,South,High,2018-10-30,Online
C007,38,Female,East,High,2019-10-01,Store
C008,42,Female,South,Low,2018-02-25,Online
C009,30,Male,North,Medium,2019-12-27,Online
C010,30,Female,Central,Medium,2019-06-10,Online
C011,43,Male,West,Medium,2019-04-19,Store
C012,55,Female,South,High,2018-01-28,Store
C013,59,Male,North,Medium,2023-10-27,Online
C014,43,Male,West,High,2018-12-31,Store
C015,22,Male,Central,High,2019-06-10,Online
C016,41,Female,West,High,2021-08-28,Online
C017,21,Female,North,Medium,2020-06-01,Online
C018,43,Male,West,Low,2020-10-27,Online
C019,49,Female,East,Medium,2020-10-23,Store
C020,57,Male,West,High,2022-07-05,Store
C021,21,Male,South,Low,2020-07-07,Store
C022,40,Female,South,Medium,2024-08-07,Online
C023,52,Female,East,Low,2022-11-10,Online
C024,31,Male,North,Medium,2022-03-12,Online
C025,41,Female,South,High,2023-03-22,Store
C026,44,Female,Central,High,2021-04-30,Online
C027,46,Male,South,Low,2022-07-13,Store
C028,47,Male,South,High,2019-04-30,Store
C029,35,Female,North,Medium,2023-09-07,Store
C030,34,Male,West,Medium,2019-12-15,Store
C031,22,Male,South,Medium,2020-11-28,Store
C032,56,Female,East,Medium,2023-05-31,Store
C033,26,Male,West,Medium,2021-07-20,Online
C034,40,Male,Central,Medium,2021-06-08,Online
C035,28,Female,North,Low,2023-11-04,Store
C036,58,Female,Central,Medium,2018-05-06,Store
C037,37,Male,West,Medium,2019-06-21,Online
C038,23,Male,West,Low,2024-01-02,Store
C039,44,Female,West,Medium,2023-09-04,Store
C040,33,Female,Central,Medium,2022-05-23,Online
C041,28,Female,West,Medium,2018-03-08,Store
C042,45,Female,Central,Medium,2018-08-21,Store
C043,21,Male,West,High,2023-11-27,Store
C044,39,Female,East,Medium,2021-03-15,Online
C045,47,Female,West,Medium,2023-11-29,Online
C046,26,Male,Central,Low,2024-03-25,Online
C047,27,Female,South,Medium,2018-04-21,Store
C048,54,Male,West,Medium,2022-02-02,Store
C049,33,Female,South,Low,2023-09-13,Online
C050,36,Female,East,Medium,2019-09-15,Store
C051,55,Female,North,Medium,2024-10-08,Store
C052,59,Male,East,High,2022-03-22,Store
C053,23,Male,West,High,2021-07-29,Store
C054,21,Female,South,Medium,2022-10-28,Store
C055,25,Male,South,Medium,2023-05-30,Online
C056,23,Male,Central,Low,2024-06-20,Store
C057,48,Male,South,High,2020-05-26,Online
C058,37,Male,Central,High,2023-06-13,Store
C059,45,Male,North,Low,2021-08-05,Online
C060,53,Male,West,Medium,2021-12-31,Store
C061,29,Female,Central,Low,2024-05-13,Online
C062,55,Female,North,Low,2022-09-30,Store
C063,33,Male,South,Low,2022-05-25,Online
C064,50,Female,South,Low,2022-03-07,Store
C065,34,Female,North,High,2024-07-25,Online
C066,27,Female,South,Medium,2022-06-19,Store
C067,33,Female,North,Medium,2021-03-06,Online
C068,42,Male,Central,Medium,2020-01-29,Online
C069,59,Female,Central,High,2018-08-31,Store
C070,40,Female,North,High,2020-11-29,Store
C071,35,Male,Central,Low,2018-08-17,Online
C072,37,Male,Central,Medium,2020-07-08,Store
C073,43,Female,Central,Low,2021-05-31,Online
C074,45,Female,East,Medium,2018-01-06,Online
C075,44,Female,West,Low,2019-04-13,Online
C076,48,Female,South,Medium,2022-10-22,Store
C077,34,Female,East,Medium,2018-03-16,Online
C078,20,Female,Central,Low,2018-01-04,Online
C079,44,Male,North,Low,2023-02-14,Store
C080,26,Female,Central,Medium,2019-10-08,Store
C081,28,Female,West,Low,2018-04-28,Store
C082,43,Male,Central,Medium,2022-06-18,Store
C083,20,Male,North,Low,2023-07-15,Online
C084,27,Male,West,Low,2020-08-04,Online
C085,43,Male,Central,Medium,2022-01-04,Online
C086,30,Female,West,Medium,2018-07-13,Online
C087,36,Female,South,Low,2020-04-26,Store
C088,27,Female,South,Low,2021-11-16,Online
C089,54,Female,Central,Low,2021-12-29,Online
C090,54,Female,West,High,2024-01-30,Store
C091,52,Female,North,Medium,2022-07-27,Online
C092,24,Male,Central,Medium,2024-07-01,Online
C093,58,Female,South,High,2021-12-04,Online
C094,47,Male,South,Low,2021-02-15,Online
C095,26,Male,Central,High,2022-12-16,Online
C096,28,Female,West,Medium,2019-12-25,Online
C097,27,Male,South,Low,2018-08-13,Store
C098,31,Female,West,Medium,2019-06-16,Store
C099,53,Male,South,Medium,2018-04-23,Online
C100,52,Female,South,Medium,2023-12-28,Online
C101,42,Male,East,High,2019-07-13,Store
C102,43,Female,South,Medium,2023-08-11,Online
C103,56,Female,North,Medium,2023-11-08,Online
C104,54,Female,Central,Medium,2019-10-16,Online
C105,59,Female,Central,High,2018-11-16,Store
C106,41,Female,West,Medium,2022-04-23,Online
C107,46,Male,South,Low,2023-01-03,Store
C108,54,Male,North,Low,2023-04-02,Online
C109,20,Male,West,Low,2018-05-19,Store
C110,54,Female,East,Low,2023-07-20,Store
C111,56,Male,West,Low,2024-04-25,Online
C112,33,Female,West,Medium,2020-06-20,Store
C113,22,Female,South,Medium,2019-11-21,Online
C114,20,Male,East,Medium,2023-08-02,Store
C115,24,Male,West,High,2018-01-10,Online
C116,45,Female,North,Medium,2018-09-18,Online
C117,33,Male,North,Medium,2023-04-27,Store
C118,58,Female,Central,Medium,2022-08-01,Online
C119,46,Female,East,Medium,2024-01-29,Online
C120,28,Female,East,Low,2023-08-23,Store
C121,34,Female,Central,Low,2021-04-06,Online
C122,34,Female,West,Low,2022-06-08,Online
C123,45,Male,East,Low,2018-11-17,Store
C124,32,Male,North,Low,2021-09-04,Store
C125,51,Female,North,High,2022-06-25,Online
C126,58,Female,South,Medium,2024-07-04,Online
C127,51,Male,East,Low,2023-06-18,Store
C128,23,Male,West,Low,2023-04-28,Store
C129,49,Female,Central,Low,2023-08-01,Online
C130,56,Male,Central,Medium,2021-01-23,Store
C131,42,Female,West,Medium,2022-05-24,Online
C132,58,Male,South,High,2024-06-23,Online
C133,34,Female,Central,Medium,2018-08-24,Online
C134,48,Male,East,High,2023-05-24,Online
C135,55,Female,South,High,2018-11-30,Online
C136,32,Male,East,Low,2023-03-24,Store
C137,51,Male,North,Medium,2019-01-11,Store
C138,26,Female,South,Medium,2021-03-06,Store
C139,41,Male,Central,Medium,2022-04-20,Store
C140,47,Female,South,Medium,2021-08-12,Online
C141,21,Male,South,Medium,2023-01-30,Online
C142,25,Female,South,Medium,2021-10-04,Online
C143,47,Male,South,High,2020-05-22,Online
C144,47,Female,East,High,2021-06-06,Store
C145,39,Male,North,Medium,2024-05-06,Online
C146,49,Female,West,High,2023-01-26,Online
C147,30,Male,South,Medium,2021-08-07,Store
C148,47,Female,Central,Medium,2019-12-26,Store
C149,44,Female,South,Medium,2023-08-15,Store
C150,58,Female,Central,Low,2018-03-19,Store
C151,52,Male,East,Medium,2018-05-12,Online
C152,20,Female,Central,Medium,2019-08-24,Online
C153,46,Male,West,Medium,2022-11-08,Store
C154,32,Female,North,High,2020-12-01,Online
C155,22,Male,Central,Low,2023-11-07,Online
C156,58,Female,Central,Medium,2024-09-15,Online
C157,25,Male,North,Medium,2024-06-01,Store
C158,27,Male,West,Medium,2023-02-07,Online
C159,46,Female,South,Medium,2021-08-11,Store
C160,28,Male,Central,High,2019-09-08,Online
C161,56,Male,North,Medium,2024-10-05,Online
C162,52,Female,East,Low,2023-03-04,Online
C163,43,Male,North,Low,2020-11-12,Store
C164,34,Male,East,Medium,2019-07-29,Online
C165,51,Male,West,Medium,2023-12-31,Store
C166,51,Female,South,Low,2020-09-19,Store
C167,43,Male,North,Medium,2024-01-02,Store
C168,31,Female,Central,Medium,2021-06-02,Online
C169,58,Male,West,Medium,2019-05-18,Online
C170,21,Male,North,Medium,2023-06-21,Online
C171,22,Male,Central,Medium,2020-03-31,Online
C172,56,Female,North,Medium,2023-11-22,Store
C173,36,Male,East,Medium,2023-05-25,Store
C174,21,Male,North,Low,2018-07-17,Store
C175,21,Female,North,Medium,2022-07-28,Online
C176,47,Male,North,Medium,2024-09-04,Store
C177,42,Female,West,High,2021-04-17,Online
C178,56,Female,North,Medium,2022-01-11,Store
C179,51,Male,Central,High,2022-07-05,Online
C180,52,Female,East,Medium,2022-08-20,Online
C181,20,Male,East,Low,2021-08-05,Store
C182,38,Female,North,High,2023-07-29,Store
C183,21,Female,West,Medium,2019-04-23,Store
C184,45,Male,West,Medium,2021-06-08,Store
C185,51,Female,Central,Low,2020-07-11,Online
C186,25,Female,North,Medium,2019-02-24,Store
C187,51,Female,East,Medium,2024-01-14,Store
C188,23,Female,West,Medium,2021-01-25,Store
C189,30,Female,North,High,2020-08-08,Online
C190,36,Male,West,Low,2024-05-25,Online
C191,57,Female,West,Medium,2021-07-01,Store
C192,43,Male,East,Medium,2024-02-22,Online
C193,24,Female,South,Low,2023-02-01,Store
C194,53,Male,Central,Medium,2019-06-01,Online
C195,25,Male,Central,Medium,2022-07-17,Online
C196,41,Female,East,Medium,2023-02-09,Online
C197,30,Female,West,Low,2021-02-15,Online
C198,35,Female,North,Medium,2023-04-17,Store
C199,52,Male,West,Low,2020-03-25,Store
C200,28,Female,East,High,2024-03-25,Store
